51300063123,fbb,27,291
51300071737,ced,139,40
51300154613,ddc,49,109
51300207900,fcf,181,192
51300231574,baf,94,53
51300237647,fda,171,12
51300238110,ebb,160,215
51300241156,eff,150,262
51300260009,dga,187,6
51300323270,bag,191,236
51300358113,bbe,205,171
51300366489,edd,216,66
51300449988,fbe,72,20
51300466805,gad,63,212
51300494410,gag,93,157
51300506381,cdb,72,234
51300512196,bfb,260,25
51300530186,dad,100,118
51300600521,ecc,139,75
51300605780,cfa,179,86
51300620305,ffb,178,153
51300672813,afg,272,239
51300685135,ffb,249,156
51300696331,bgf,220,63
51300703971,aaa,186,173
51300806863,gdb,244,162
51300826307,efa,131,183
51300872125,dgc,228,83
51300883636,bdd,248,280
51300885867,cec,35,61
51300888694,aeg,176,15
51300926970,ceb,92,231
51300973685,bba,51,129
51300988316,gad,89,222
51300994775,bbg,142,287
51301008611,ddf,233,93
51301019653,eed,115,19
51301025218,eaf,12,78
51301051343,cbd,260,211
51301054067,ccf,278,140
51301062585,cgd,158,142
51301063007,bbf,68,245
51301063390,gca,88,96
51301087722,bgg,62,202
51301103010,bdb,235,194
51301108914,dfe,182,65
51301115245,gag,236,150
51301125634,fdg,123,114
51301140534,ebc,131,252
51301146715,faa,268,210
51301154509,egd,220,86
51301168329,feg,49,243
51301185817,egc,177,80
51301186759,aee,5,225
51301195370,cab,234,280
51301213473,abe,157,297
51301249358,ggg,37,287
51301263405,ebb,249,240
51301298841,bfa,10,103
51301319825,eaf,207,66
51301356466,cff,3,287
51301366194,bcf,285,270
51301446299,gef,95,85
51301452958,ded,247,217
51301458420,eag,275,269
51301471493,gcg,185,15
51301488990,ddd,112,106
51301542718,dac,128,167
51301583828,eaf,159,75
51301620916,ebd,48,160
51301646544,bde,198,217
51301654868,gbd,38,169
51301684697,geb,43,87
51301686674,ega,49,280
51301693554,cca,283,175
51301771374,bfc,284,230
51301779628,eae,130,264
51301781454,bgd,106,271
51301797657,abg,279,37
51301798924,dad,93,97
51301799905,dff,252,48
51301848055,bbf,4,196
51301863813,aac,294,10
51301879091,bad,72,11
51301920560,ace,194,74
51301950851,dcb,109,70
51301959914,eae,264,277
51301963452,gcd,287,242
51301996173,gca,73,78
51302080541,cfc,70,66
51302088220,ead,197,132
51302095284,afc,101,150
51302132277,bgd,54,273
51302142634,cca,99,182
51302149132,ebf,1,261
51302152667,gge,68,28
51302152728,gcg,14,13
51302183363,efe,158,294
51302328015,bce,251,178
51302370421,fdd,96,91
51302378577,ebf,116,279
51302386670,aac,12,11
51302425749,fcc,96,55
51302434062,ddf,241,75
51302465858,ege,274,267
51302476119,fge,40,70
51302494956,aga,123,284
51302498812,beb,293,241
51302574441,ffe,196,85
51302603579,cdd,298,293
51302660748,dcc,20,236
51302663785,fbf,281,209
51302708220,eef,114,290
51302733342,acb,274,64
51302737368,bed,41,208
51302744209,faf,53,147
51302792476,cfa,127,73
51302818104,bgc,40,161
51302863978,dcf,184,285
51302937168,bee,114,118
51302967157,fbe,15,22
51302975310,cbf,281,174
51302987052,efa,118,179
51302998067,cda,78,151
51303010533,bbf,26,221
51303081392,ede,177,159
51303120188,ffb,38,146
51303130287,cec,185,53
51303154259,cfa,40,64
51303157311,bce,123,142
51303163154,dbe,3,235
51303184544,dfg,76,180
51303187388,ceg,236,266
51303234620,ceg,128,271
51303253190,cee,25,261
51303257938,bdd,170,308
51303330633,fed,253,100
51303331926,bfd,5,224
51303352505,egb,32,156
51303358007,dde,181,295
51303363560,ebe,208,164
51303388419,acf,16,281
51303419951,ggg,35,272
51303420189,dgf,204,214
51303430763,fee,64,143
51303432189,cfc,21,73
51303432603,bbe,164,179
51303454539,gbg,118,88
51303465731,fcg,200,102
51303493192,cff,139,238
51303504907,gfa,31,224
51303539889,gcb,129,255
51303552267,bge,16,81
51303559106,ffc,89,107
51303562896,fgd,168,298
51303575558,ddg,248,114
51303596318,bfe,299,183
51303597830,gdb,78,132
51303620975,aca,131,147
51303695772,eca,53,157
51303728332,bdf,185,286
51303729402,afd,18,295
51303765482,ddc,225,109
51303778231,bca,238,229
51303819207,cac,288,297
51303828323,bdc,104,275
51303853167,efg,113,78
51303876560,dbg,198,105
51303876771,dbf,227,30
51303894370,bea,31,118
51303927593,bbg,117,269
51303944928,gff,77,274
51303951857,dba,55,198
51303976577,dge,148,203
51303984620,gbb,16,7
51303989617,gge,209,31
51303995464,gae,101,238
51304010043,cac,112,297
51304039145,aeb,227,279
51304050504,agf,220,193
51304052882,efd,222,49
51304058257,ged,74,63
51304091829,geb,246,80
51304104192,bcg,54,247
51304109075,dca,25,20
51304121930,fce,122,183
51304124653,ffg,228,182
51304127938,bad,257,9
51304136045,bcf,84,240
51304144925,bfe,207,153
51304148467,ffb,246,129
51304176722,ede,57,128
